 ,Area,Mean,Min,Max,Angle,Length,Angle Normalized
302,0.855,132.38,108.562,237.928,22.153,11.328,22.153
303,0.889,153.611,113.761,238.899,20.171,11.769,20.171
304,0.844,185.003,104.92,243,25.877,11.204,25.877
305,0.726,146.333,51.026,242.503,-4.022,9.622,175.978
306,0.771,132.308,76.143,241.971,44.109,10.219,44.109
307,0.742,109.232,69.119,221.521,47.167,9.801,47.167
308,0.861,113.733,32.444,237.909,32.645,11.401,32.645
309,0.99,165.275,0,239.055,70.017,13.144,70.017
310,0.939,197.468,147.501,242.028,71.675,12.444,71.675
311,0.956,139.892,108.632,232.269,70.392,12.7,70.392
312,0.906,137.327,118.947,239.816,70.998,12.001,70.998
313,0.709,147.606,98.692,238.808,-91.375,9.353,88.625
314,0.855,216.081,186.295,243,-90,11.35,90
315,0.855,75.145,53.418,180.937,73.589,11.36,73.589
316,0.928,125.122,55.78,218.802,71.565,12.317,71.565
317,0.928,195.794,80.48,243,71.565,12.317,71.565
318,1.153,138.167,74.088,240.964,-57.4,15.312,122.6
319,1.029,129.331,53.237,234.33,-63.153,13.618,116.847
320,1.164,94.249,50.002,217.806,-44.409,15.416,135.591
321,0.883,127.528,0,238.71,-37.747,11.722,142.253
322,1.159,207.728,160.972,243,-124.465,15.394,55.535
323,0.889,214.475,152.109,243,-67.042,11.765,112.958
324,1.018,217.574,155.682,243,161.565,13.487,161.565
325,1.125,188.645,98.72,242.388,-63.178,14.959,116.822
326,1.232,211.969,163.498,243,-66.836,16.374,113.164
327,0.714,216.485,127.245,243,-71.565,9.471,108.435
328,0.9,210.368,162.528,242.654,-70.419,11.893,109.581
329,1.266,198.523,133,243,-68.009,16.824,111.991
330,0.742,217.464,174.111,243,-72.962,9.789,107.038
331,0.917,194.453,137.889,243,-72.35,12.113,107.65
332,0.832,175.575,81.815,243,24.829,11.053,24.829
333,0.827,214.882,184.778,243,-43.616,10.964,136.384
334,1.018,217.636,195.33,241.924,-48.604,13.532,131.396
335,0.782,224.202,209.571,243,-43.819,10.326,136.181
336,0.827,214.958,184.556,243,-48.334,10.941,131.666
337,0.776,171.1,159.161,206,-54.219,10.282,125.781
338,1.153,221.782,200.111,243,-41.82,15.297,138.18
339,0.939,216.99,179.889,243,-54.302,12.462,125.698
340,0.776,150.083,128.437,219.905,-53.297,10.25,126.703
341,0.782,145.388,117.189,203.553,-69.59,10.346,110.41
342,0.759,152.011,137.224,180.096,-56.781,10.082,123.219
343,0.703,218.696,184.809,243,-68.199,9.266,111.801
344,0.703,187.886,159.675,230.545,-59.91,9.272,120.09
345,0.861,212.516,178.887,243,61.75,11.385,61.75
346,0.776,191.948,166.859,219.164,63.06,10.264,63.06
347,0.523,198.749,170.529,223.51,70.974,6.926,70.974
348,0.771,180.664,143.104,217.907,-37.208,10.21,142.792
349,0.591,185.941,145.401,240.512,-127.2,7.81,52.8
350,0.675,187.935,149.789,242.225,36.384,8.9,36.384
351,0.894,202.761,153.169,242.629,39.572,11.824,39.572
352,0.844,206.979,175.171,243,37.1,11.21,37.1
353,1.125,138.51,103.261,224.133,-7.518,14.928,172.482
354,1.086,162.924,111.125,234.778,25.233,14.427,25.233
355,0.973,200.005,144.951,241.852,30.449,12.863,30.449
356,0.793,164.116,153.071,176.333,-113.466,10.524,66.534
357,0.658,198.487,158.648,235.824,-113.714,8.732,66.286
358,0.962,220.176,188.667,243,-58.747,12.742,121.253
359,0.827,218.598,186.336,242.665,-59.913,10.952,120.087
360,0.9,210.771,158.445,243,86.401,11.924,86.401
361,0.99,156.049,114.423,238.002,89.023,13.152,89.023
362,0.945,199.972,135.161,242.83,1.715,12.555,1.715
363,0.889,220.076,186.587,243,-1.459,11.754,178.541
364,0.596,165.348,135.845,224.317,-2.182,7.906,177.818
365,0.883,207.361,139.222,243,-21.938,11.69,158.062
366,1.125,216.401,166.623,243,-24.372,14.926,155.628
367,0.726,190.343,140.33,238.999,76.938,9.605,76.938
368,0.596,218.807,169.672,242.759,73.98,7.912,73.98
369,0.956,200.086,115.489,243,-102.969,12.663,77.031
370,0.883,224.81,170.503,243,-106.348,11.724,73.652
371,1.102,197.799,137.099,243,20.384,14.648,20.384
372,1.052,207.535,163.593,243,22.029,13.974,22.029
373,0.967,195.561,138.368,243,42.861,12.808,42.861
374,0.636,201.386,134,243,41.76,8.429,41.76
375,0.681,152.216,68.133,240.222,43.983,8.981,43.983
376,0.624,119.92,62.413,232.549,-77.358,8.26,102.642
377,0.771,194.216,119.166,243,-57.24,10.208,122.76
378,0.911,132.402,72.026,206.448,29.435,12.069,29.435
379,0.838,201.949,137.45,243,18.068,11.1,18.068
380,1.074,214.977,98.667,243,4.538,14.246,4.538
381,0.652,148.26,109.892,212.782,-1.992,8.655,178.008
382,1.08,218.171,158.924,243,-6.307,14.34,173.693
383,0.917,174.014,101.148,243,-121.631,12.143,58.369
384,0.793,139.923,94.332,239.882,-114.747,10.515,65.253
385,1.007,175.277,130.882,243,-128.157,13.323,51.843
386,0.928,213.403,159.925,243,149.693,12.323,149.693
387,1.074,196.072,136.634,243,-43.29,14.256,136.71
388,0.934,205.494,114.111,243,164.867,12.384,164.867
389,0.996,210.82,141.067,243,-8.499,13.195,171.501
390,0.911,219.296,187.36,243,-111.934,12.089,68.066
391,0.979,198.485,170.166,241.449,-109.699,12.952,70.301
392,1.069,199.863,111.76,243,6.374,14.185,6.374
393,0.861,188.026,100.056,243,7.545,11.399,7.545
394,0.776,119.498,49.721,242.823,38.204,10.292,38.204
395,0.832,190.715,117.089,243,67.62,11.05,67.62
396,1.119,187.779,82.671,243,-151.366,14.856,28.634
397,1.136,203.035,149.628,243,36.529,15.08,36.529
398,0.883,202.339,154.859,242.441,-59.162,11.679,120.838
399,0.647,134.477,94.901,183.367,-60.068,8.577,119.932
400,0.877,214.845,134.488,243,-60.301,11.622,119.699
401,0.917,210.062,140,243,-57.095,12.176,122.905
402,0.838,207.72,81,242.671,-55.452,11.081,124.548
403,0.658,209.87,163.253,243,-41.878,8.711,138.122
404,1.136,204.206,91.343,238.409,23.499,15.048,23.499
405,1.254,216.644,174.603,243,-19.584,16.622,160.416
406,1.254,211.575,104.351,243,-20.225,16.673,159.775
407,1.074,218.05,134.621,243,71.279,14.215,71.279
408,1.029,201.717,58.043,243,65.973,13.657,65.973
409,0.883,204.271,90.346,243,48.122,11.722,48.122
410,1.074,170.986,0.402,243,32.771,14.258,32.771
411,1.007,160.059,0,218.913,34.226,13.314,34.226
412,0.911,182.307,60.297,241.525,45.757,12.092,45.757
413,1.119,218.444,123.669,243,-16.144,14.828,163.856
414,0.956,212.711,153.878,241.763,-8.797,12.701,171.203
415,1.029,217.679,84.947,243,-60.762,13.657,119.238
416,1.046,186.027,132.582,223.447,0.619,13.901,0.619
417,1.041,217.287,172.282,243,5.307,13.807,5.307
418,0.872,212.892,151.364,243,88.512,11.555,88.512
419,0.922,201.761,117.292,243,115.78,12.21,115.78
420,0.945,172.957,140.083,238.053,5.505,12.508,5.505
421,1.063,209.129,141.128,243,12.926,14.095,12.926
422,0.962,183.716,112.267,232,36.399,12.73,36.399
423,0.827,201.97,158.918,243,47.224,10.932,47.224
424,0.776,211.135,160.333,243,77.788,10.288,77.788
425,0.849,193.902,131.728,243,76.891,11.281,76.891
426,0.917,213.139,110.362,243,91.768,12.155,91.768
427,0.951,207.965,151.198,243,96.491,12.628,96.491
428,1.046,188.009,118.725,237.439,108.239,13.851,108.239
429,0.838,209.642,167.51,243,108.925,11.131,108.925
430,0.922,196.465,167.898,231.14,49.743,12.241,49.743
431,0.956,214.747,179.651,242.674,-59.621,12.64,120.379
432,0.804,217.74,189.667,241.882,-60.205,10.686,119.795
433,1.074,210.058,180.284,242.917,73.764,14.224,73.764
434,1.108,207.86,172.094,243,63.304,14.691,63.304
435,1.136,197.194,150.289,243,39.952,15.051,39.952
436,1.266,187.603,101.704,243,-124.971,16.77,55.029
437,1.305,190.75,114.171,243,-134.474,17.36,45.526
438,1.181,188.183,60.523,243,-131.135,15.696,48.865
