 ,Area,Mean,Min,Max,Angle,Length,Angle Normalized
285,0.619,226.761,179.254,242.844,-78.381,8.168,101.619
286,0.793,169.921,46.787,212.541,32.784,10.527,32.784
287,0.63,186.326,110.684,240.338,33.261,8.349,33.261
288,0.787,204.342,151.531,241.857,-69.492,10.458,110.508
289,0.979,181.016,22.006,227.738,37.67,12.941,37.67
290,0.827,161.457,120.793,225.319,43.616,10.964,43.616
291,0.804,138.461,24.456,192,30.343,10.668,30.343
292,0.714,148.612,5.434,192,35.961,9.481,35.961
293,0.737,159.237,103.945,225.853,42.184,9.734,42.184
294,0.647,148.94,5.984,218.879,55.465,8.516,55.465
295,0.546,143.05,18.667,192,49.658,7.164,49.658
296,0.664,160.057,3.198,207.111,51.953,8.762,51.953
297,0.534,167.358,115.467,228.505,55.46,7.017,55.46
298,0.523,200.914,166.821,243,-46.312,6.931,133.688
299,0.349,197.426,146.852,243,-57.095,4.549,122.905
300,0.681,198.94,94.556,243,-19.654,8.984,160.346
301,0.534,156.568,53,240.717,-41.987,7.08,138.013
302,1.08,200.404,89.387,242.69,-86.405,14.325,93.595
303,0.99,189.55,84,243,-45.924,13.119,134.076
304,0.928,203.735,120.716,243,-9.462,12.314,170.538
305,0.911,173.97,66.047,243,-3.219,12.07,176.781
306,0.759,104.958,78.129,243,-26.565,10.062,153.435
307,0.591,182.844,121.471,243,-25.821,7.782,154.179
308,0.782,221.523,172.701,243,-10.901,10.345,169.099
309,0.962,219.736,183.721,243,-15.018,12.735,164.982
310,0.658,186.453,170.954,225.302,-14.517,8.683,165.483
311,0.579,116.029,58.544,220.805,82.185,7.679,82.185
312,0.686,203.619,139.431,242.472,6.132,9.105,6.132
313,0.799,163.717,144.604,226.158,4.865,10.588,4.865
314,0.984,212.184,155.505,243,-12.6,13.054,167.4
315,0.754,219.697,184.234,242.951,-68.438,9.991,111.562
316,0.619,226.202,205.137,243,-66.251,8.194,113.749
