 ,Area,Mean,Min,Max,Angle,Length,Angle Normalized
261,0.681,151.007,20.8,209.778,0.477,9.001,0.477
262,0.934,159.745,131.267,228.136,-46.229,12.412,133.771
263,0.861,157.026,76.667,236.411,-56.519,11.413,123.481
264,1.08,156.219,17.004,230.279,-49.464,14.29,130.536
265,0.225,182.836,129.452,210.653,-45,2.899,135
266,0.956,177.188,141.142,228.773,-162.423,12.683,17.577
267,0.697,183.702,146.635,245.2,-168.232,9.198,11.768
268,0.748,193.342,143.941,243,15.826,9.876,15.826
269,0.748,143.896,92,230.69,7.394,9.929,7.394
270,0.894,128.275,45.113,234.039,-2.899,11.863,177.101
271,0.928,142.403,33.028,229.051,-47.961,12.287,132.039
272,0.804,222.696,199.332,242.801,-8.868,10.678,171.132
273,0.855,194.722,166.532,242.713,-73.009,11.308,106.991
274,0.382,177.627,143.667,232.022,19.767,5.045,19.767
275,0.315,208.226,157.36,238.455,20.072,4.097,20.072
276,0.838,212.957,159.932,242.203,-48.851,11.091,131.149
277,0.877,158.288,113.989,236.213,8.549,11.625,8.549
278,0.506,154.973,0,199.381,6.411,6.698,6.411
279,0.669,201.037,119.439,243,6.823,8.813,6.823
280,0.101,185.606,168.889,202.255,0,1.25,0
281,1.08,220.189,184.301,243,-7.792,14.333,172.208
282,0.433,126.071,31.342,191.22,-13.671,5.7,166.329
283,0.45,114.325,92.604,177.979,-19.799,5.946,160.201
284,0.754,106.546,39.526,243,-41.348,9.986,138.652
285,0.771,102.716,10.381,222.298,-66.468,10.164,113.532
286,0.849,227.334,197.667,243,-4.194,11.278,175.806
287,0.911,163.298,140.304,193.419,4.645,12.038,4.645
288,0.832,167.996,126.71,223.952,7.8,11.052,7.8
289,0.517,218.47,165.673,242.849,10.081,6.807,10.081
290,0.776,201.643,131.289,243,5.835,10.299,5.835
291,0.54,198.812,0,238.611,12.137,7.11,12.137
292,0.951,205.884,109.574,243,6.491,12.578,6.491
293,0.81,217.428,179.31,243,-2.42,10.709,177.58
294,0.742,175.801,141.606,239.715,-98.813,9.815,81.187
295,0.765,184.955,147.872,226.378,-102.482,10.093,77.518
296,0.771,172.23,128.868,236.639,-47.077,10.225,132.923
297,0.641,157.262,62.15,234.423,-88.466,8.454,91.534
298,0.591,181.769,81.18,243,-20.879,7.772,159.121
299,0.804,208.097,111.874,243,-15.113,10.674,164.887
300,0.889,184.059,149.16,240.299,1.813,11.805,1.813
301,0.861,205.927,120.536,242.759,-9.834,11.418,170.166
302,0.984,185.384,108.847,243,-119.949,13.061,60.051
303,0.799,103.62,15.964,223.173,13.449,10.599,13.449
304,1.012,80.879,45.258,229.796,12.251,13.406,12.251
305,1.069,122.083,85.296,235.587,1.809,14.209,1.809
306,0.669,224.579,186.661,243,0.971,8.851,0.971
307,1.254,177.297,59.912,243,-1.806,16.658,178.194
308,0.906,195.903,92.688,243,-3.576,12.023,176.424
309,0.636,187.401,114.755,240.327,-35.952,8.411,144.048
310,0.337,190.248,100.999,243,-82.147,4.398,97.853
311,0.416,209.495,154.785,242.745,-72.553,5.503,107.447
312,1.091,198.127,93.512,243,22.574,14.439,22.574
313,0.506,167.307,6.353,243,-70.346,6.69,109.654
314,0.456,151.445,59.728,243,-21.801,6.035,158.199
315,0.557,135.242,42.494,241.877,-110.283,7.356,69.717
316,0.478,209.604,140.474,243,-58.57,6.329,121.43
317,0.574,127.788,34.222,234.072,-50.631,7.567,129.369
318,0.607,119.142,57.759,241.835,-74.275,8.056,105.725
319,0.529,116.9,67.115,236.252,-47.603,7.009,132.397
320,0.472,192.052,92.96,243,-83.13,6.239,96.87
321,0.742,176.972,57.148,243,-69.495,9.826,110.505
322,0.551,137.085,70.078,229.066,-61.579,7.271,118.421
323,0.562,143.204,78.813,239.118,-99.273,7.447,80.727
324,0.54,150.696,91.302,241.934,-91.809,7.104,88.191
325,0.523,141.417,70.756,242.178,-33.518,6.934,146.482
326,0.467,145.368,59.268,237.656,-85.815,6.166,94.185
327,0.652,175.116,66.486,243,-24.114,8.615,155.886
328,0.906,126.947,46.189,237.456,-40.446,12.023,139.554
329,0.883,160.825,44.309,243,-41.117,11.731,138.883
330,0.36,148.253,88.65,219.245,-82.763,4.738,97.237
331,0.349,210.134,120.57,243,-104.265,4.584,75.735
332,0.506,198.8,133.262,243,-44.091,6.683,135.909
333,0.591,213.424,164.026,242.821,-33.996,7.821,146.004
334,0.512,109.318,43.148,243,-33.69,6.781,146.31
335,0.534,179.514,69.184,241.423,-75.225,7.034,104.775
336,1.17,198.235,143.67,242.669,-1.384,15.555,178.616
337,0.844,207.879,159.489,243,16.736,11.183,16.736
338,0.787,128.44,98.698,203.628,-65.283,10.403,114.717
339,0.821,143.824,106.179,208.091,-63.789,10.89,116.211
340,0.748,201.581,121.571,241.618,-25.984,9.929,154.016
341,0.99,219.823,154.21,243,-12.209,13.103,167.791
342,0.894,150.446,34.438,240.055,28.843,11.84,28.843
343,0.939,152.924,107.889,185.269,31.969,12.487,31.969
344,1.108,185.348,103.601,243,5.886,14.672,5.886
345,1.063,166.169,87.283,235.802,7.352,14.066,7.352
346,1.136,112.281,75.054,196.32,-5.143,15.061,174.857
347,1.007,122.51,101.207,239.24,-6.766,13.34,173.234
348,0.889,161.654,105.198,225.854,53.057,11.75,53.057
349,1.001,139.291,107.619,223.665,44.31,13.259,44.31
350,0.883,164.815,139.527,238.225,-109.826,11.735,70.174
351,0.917,111.808,62.262,240.329,-84.325,12.159,95.675
352,1.249,103.687,39.092,239.691,42.987,16.593,42.987
353,0.939,98.213,53.093,222.129,-104.373,12.442,75.627
